% Model:              JH_0104_coupled_lib_model_1d.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 8 2026, 15:19
% Dimension:          0
% Nodes:              3601
% Expressions:        6
% Description:        Point Probe 1, , , , Open-circuit cell voltage, Battery cell state of charge
% u_par                   C_par                    t                        E_cell (V)               -I_cell (A)              -Rx_cell (N)             -u_cell (m)              E_ocv_cell (V)           soc_cell (1)
0                         0.1                      1370                     4.22574907086836         0.49782155022043484      -2.9339392686414298E7    0                        4.237279579334099        0.9619444444444447
0                         0.1                      1380                     4.225325382180854        0.49782155022043484      -2.9553555345014766E7    0                        4.236852519352371        0.961666666666667
0                         0.1                      1390                     4.224901693493348        0.49782155022043484      -2.976771800361496E7     0                        4.2364254593706425       0.9613888888888892
0                         0.1                      1400                     4.224478004805842        0.49782155022043484      -2.9981880662215304E7    0                        4.235998399388914        0.9611111111111115
0                         0.1                      1410                     4.2240543161183375       0.49782155022043484      -3.0196043320815675E7    0                        4.235571339407187        0.9608333333333337
0                         0.1                      1420                     4.223630627430832        0.49782155022043484      -3.041020597941596E7     0                        4.23514427942546         0.9605555555555557
0                         0.1                      1430                     4.223206938743326        0.49782155022043484      -3.062436863801633E7     0                        4.2347172194437315       0.960277777777778
0                         0.1                      1440                     4.22278325005582         0.49782155022043484      -3.0838531296616606E7    0                        4.234290159462003        0.9600000000000002
0                         0.1                      1450                     4.222359561368315        0.49782155022043484      -3.1052693955216963E7    0                        4.233863099480275        0.9597222222222225
0                         0.1                      1460                     4.22193587268081         0.49782155022043484      -3.1266856613817368E7    0                        4.233436039498547        0.9594444444444448
0                         0.1                      1470                     4.221512183993304        0.49782155022043484      -3.1481019272417597E7    0                        4.233008979516819        0.959166666666667
0                         0.1                      1480                     4.221088495305798        0.49782155022043484      -3.1695181931017954E7    0                        4.232581919535091        0.9588888888888892
0                         0.1                      1490                     4.220664806618292        0.49782155022043484      -3.1909344589618206E7    0                        4.232154859553363        0.9586111111111114
0                         0.1                      1500                     4.2202411179307875       0.49782155022043484      -3.212350724821847E7     0                        4.231727799571636        0.9583333333333337
0                         0.1                      1510                     4.219817429243282        0.49782155022043484      -3.2337669906818826E7    0                        4.231300739589908        0.9580555555555558
0                         0.1                      1520                     4.219393740555776        0.49782155022043484      -3.2551832565419264E7    0                        4.230873679608179        0.957777777777778
0                         0.1                      1530                     4.21897005186827         0.49782155022043484      -3.2765995224019457E7    0                        4.230446619626452        0.9575000000000005
0                         0.1                      1540                     4.218546363180765        0.49782155022043484      -3.2980157882619843E7    0                        4.230019559644724        0.9572222222222224
0                         0.1                      1550                     4.21812267449326         0.49782155022043484      -3.3194320541220248E7    0                        4.229592499662996        0.9569444444444447
0                         0.1                      1560                     4.217698985805754        0.49782155022043484      -3.3408483199820563E7    0                        4.229165439681267        0.956666666666667
0                         0.1                      1570                     4.217275297118248        0.49782155022043484      -3.362264585842086E7     0                        4.228739147466655        0.9563888888888892
0                         0.1                      1580                     4.216851608430742        0.49782155022043484      -3.3836808517021194E7    0                        4.228313280726219        0.9561111111111115
0                         0.1                      1590                     4.2164279197432375       0.49782155022043484      -3.4050971175621495E7    0                        4.227887413985783        0.9558333333333336
0                         0.1                      1600                     4.216004231055732        0.49782155022043484      -3.4265133834221825E7    0                        4.227461547245348        0.9555555555555559
0                         0.1                      1610                     4.215580542368226        0.49782155022043484      -3.447929649282213E7     0                        4.227035680504912        0.9552777777777782
0                         0.1                      1620                     4.21515685368072         0.49782155022043484      -3.469345915142244E7     0                        4.226609813764476        0.9550000000000004
0                         0.1                      1630                     4.2147331649932145       0.49782155022043484      -3.490762181002291E7     0                        4.226183947024041        0.9547222222222227
0                         0.1                      1640                     4.21430947630571         0.49782155022043484      -3.512178446862322E7     0                        4.2257580802836054       0.9544444444444447
0                         0.1                      1650                     4.213885787618204        0.49782155022043484      -3.5335947127223514E7    0                        4.225332213543169        0.9541666666666669
0                         0.1                      1660                     4.213462098930698        0.49782155022043484      -3.555010978582387E7     0                        4.224906346802733        0.9538888888888892
0                         0.1                      1670                     4.213038410243192        0.49782155022043484      -3.576427244442415E7     0                        4.224480480062297        0.9536111111111114
0                         0.1                      1680                     4.212615276667491        0.49782155022043484      -3.597843510302452E7     0                        4.224054613321862        0.9533333333333335
0                         0.1                      1690                     4.212192282043256        0.49782155022043484      -3.619259776162481E7     0                        4.223628746581427        0.9530555555555559
0                         0.1                      1700                     4.211769287419022        0.49782155022043484      -3.64067604202252E7      0                        4.223202879840991        0.9527777777777782
0                         0.1                      1710                     4.211346292794787        0.49782155022043484      -3.662092307882556E7     0                        4.222777013100555        0.9525000000000005
0                         0.1                      1720                     4.210923298170553        0.49782155022043484      -3.683508573742583E7     0                        4.222351146360119        0.9522222222222224
0                         0.1                      1730                     4.210500303546318        0.49782155022043484      -3.7049248396026224E7    0                        4.221925279619684        0.9519444444444447
0                         0.1                      1740                     4.210077308922084        0.49782155022043484      -3.7263411054626435E7    0                        4.221499412879249        0.9516666666666669
0                         0.1                      1750                     4.2096543142978495       0.49782155022043484      -3.747757371322677E7     0                        4.221073546138813        0.951388888888889
0                         0.1                      1760                     4.2092313196736155       0.49782155022043484      -3.769173637182719E7     0                        4.220647679398377        0.9511111111111115
0                         0.1                      1770                     4.208808325049381        0.49782155022043484      -3.790589903042735E7     0                        4.2202218126579405       0.9508333333333336
0                         0.1                      1780                     4.208385330425147        0.49782155022043484      -3.812006168902777E7     0                        4.219795945917506        0.9505555555555559
0                         0.1                      1790                     4.207962335800912        0.49782155022043484      -3.833422434762812E7     0                        4.219370079177071        0.9502777777777781
