time/s;current/A;battery voltage/V
53279.743587595;-18.033002;3.3256838
53344.7435877161;-17.866713;3.326185
53345.743587718;-17.944768;3.3254833
53363.7435877515;-18.022822;3.3256338
53364.7435877533;-18.002459;3.326185
53391.7435878036;-17.975311;3.3254833
53392.7435878055;-17.941373;3.3260345
53453.7435879191;-17.944768;3.3259845
53454.743587921;-18.016035;3.3254833
53455.7435879228;-17.944768;3.3259845
53510.7435880253;-17.94816;3.3260846
53511.7435880272;-18.033002;3.3255334
53522.7435880476;-18.033002;3.3262851
53523.7435880495;-18.016035;3.325784
53584.7435881631;-18.070332;3.3262851
53585.743588165;-17.978705;3.325784
53597.7435881873;-17.954947;3.3263354
53598.7435881892;-17.992277;3.325834
53605.7435882022;-17.94816;3.3262851
53606.7435882041;-17.971918;3.325784
53609.7435882097;-17.904043;3.3256338
53610.7435882116;-17.914225;3.3263354
53612.7435882153;-17.978705;3.325784
53613.7435882171;-18.033002;3.3262851
53686.7435883531;-17.978705;3.325834
53687.743588355;-18.046578;3.3264356
53734.7435884425;-17.846352;3.3262351
53735.7435884444;-17.944768;3.3254833
53736.7435884462;-17.999066;3.326586
53737.7435884481;-18.063545;3.3259845
53739.7435884518;-18.100875;3.3264856
53740.7435884537;-17.995672;3.325834
53741.7435884556;-17.94816;3.3264356
53766.7435885021;-18.019428;3.3264356
53767.743588504;-18.005854;3.3259344
53816.7435885953;-17.93798;3.3263354
53817.7435885971;-17.927801;3.325834
53844.7435886474;-17.958344;3.3258843
53845.7435886493;-17.93798;3.3264356
53892.7435887368;-18.022822;3.3265357
53893.7435887387;-17.988885;3.325834
53894.7435887405;-18.090695;3.3265357
53916.7435887815;-17.971918;3.3260846
53917.7435887834;-17.866713;3.326586
53930.7435888076;-17.897256;3.3259845
53931.7435888095;-17.971918;3.3264856
53969.7435888802;-18.022822;3.3266861
53970.7435888821;-17.985492;3.3261349
54015.7435889659;-17.968523;3.326185
54016.7435889678;-17.995672;3.3266861
54090.7435891056;-18.036396;3.3265357
54091.7435891075;-17.965131;3.3259344
54092.7435891093;-18.019428;3.3264356
54122.7435891652;-17.91083;3.326185
54123.7435891671;-17.897256;3.3267362
54155.7435892267;-18.073727;3.3267362
54156.7435892286;-17.917619;3.3260345
54157.7435892304;-17.971918;3.3265357
54164.7435892435;-17.907438;3.3260846
54165.7435892453;-17.931193;3.326586
54340.7435895713;-17.880287;3.3268366
54341.7435895731;-17.934586;3.3263354
54342.743589575;-17.958344;3.3268867
54345.7435895806;-17.988885;3.3269367
54346.7435895825;-17.988885;3.3260846
54347.7435895843;-18.107662;3.3266361
54372.7435896309;-18.036396;3.3262851
54373.7435896328;-17.971918;3.3268366
54406.7435896942;-17.982098;3.3267362
54407.7435896961;-17.944768;3.3261349
54408.7435896979;-18.033002;3.3267362
54485.7435898414;-17.961734;3.3264856
54486.7435898432;-17.999066;3.3270369
54540.7435899438;-17.921012;3.3263855
54541.7435899457;-17.978705;3.3268867
54546.743589955;-17.988885;3.3271372
54547.7435899569;-17.921012;3.3266361
