time/s;current/A;battery voltage/V
114152.527110602;180.09541;3.1537285
114153.527110368;180.0445;3.1531773
114156.527109664;179.97322;3.1533277
114157.527109429;180.10558;3.1528265
114192.527101117;180.19041;3.1505711
114193.527100882;180.07505;3.1498694
114206.527097831;180.08859;3.1494684
114207.527097597;180.15648;3.1489673
114209.527097127;180.05469;3.1491177
114210.527096892;180.05805;3.1485162
114225.527093317;180.11236;3.1477644
114226.527093078;180.09877;3.1472633
114270.527082687;180.07841;3.1438053
114271.527082449;180.08181;3.1431036
114300.527075575;179.97661;3.1408982
114301.527075341;180.03431;3.1402469
114318.527071342;180.07164;3.139044
114319.527071104;180.10217;3.1383424
114341.527065859;180.17684;3.1369891
114342.52706562;180.05128;3.136488
114378.527057136;179.97322;3.1330297
114379.527056898;179.85784;3.1324284
114380.52705666;180.11577;3.1329296
114400.52705191;180.03092;3.1306741
114401.527051676;180.06145;3.130173
114462.527037261;180.07164;3.1235073
114463.527037026;180.01733;3.1228559
114472.527034914;180.1395;3.1224048
114473.527034679;180.14289;3.1217031
114478.527033492;179.95625;3.1214526
114479.527033254;180.06823;3.1209011
114483.5270323;180.00716;3.1210015
114484.527032061;180.08522;3.1204503
114503.527027541;180.09541;3.1184454
114504.527027306;180.01056;3.1178942
114516.52702449;180.13613;3.1166914
114517.527024255;180.08522;3.1160898
114534.52702024;180.12933;3.114486
114535.527020001;180.10217;3.1139348
114542.527018332;180.05128;3.1135337
114543.527018094;180.11914;3.1128824
114565.527012892;180.04109;3.1104264
114566.527012657;180.15308;3.1098752
114599.527004842;180.02752;3.1060162
114600.527004603;180.10897;3.1054146
114610.527002233;180.11577;3.1047633
114611.527001998;180.10558;3.1042118
114614.527001294;180.11236;3.1042621
114615.52700106;180.06145;3.1037607
114616.527000825;180.092;3.1041117
114617.52700059;179.8782;3.1032095
114618.527000356;179.98341;3.1031594
114619.527000121;179.94269;3.1037107
114620.526999886;180.07505;3.1029589
114635.526996358;180.06145;3.101706
114636.526996119;180.21756;3.1012049
114637.526995881;180.04109;3.101305
114638.526995643;180.16666;3.1007538
114642.526994689;180.11236;3.1006033
114643.52699445;180.01733;3.0999517
114655.526991589;180.11236;3.0983982
114656.526991351;180.02752;3.0992
114657.526991113;179.96305;3.0986989
114658.526990874;179.9325;3.0981476
114690.526983344;180.1463;3.0939877
114691.526983105;180.04109;3.0934865
114692.526982867;180.02073;3.0938876
114693.526982629;180.12933;3.0933864
114694.52698239;180.09541;3.0939376
114695.526982152;180.02413;3.0933864
114696.526981913;180.12253;3.0928853
114722.526975752;180.06486;3.0893769
114723.526975517;180.08522;3.0887253
114730.526973875;180.092;3.0879235
114731.52697364;180.10217;3.0874224
114737.526972232;180.05805;3.0867708
114738.526971997;180.02752;3.0861692
114757.526967469;180.08522;3.0833125
114758.526967231;180.04788;3.0827112
114759.526966992;180.02413;3.0829618
114760.526966754;180.05469;3.0823603
114767.526965093;179.98341;3.081358
114768.526964858;179.99019;3.0807066
114773.526963685;180.03092;3.0798545
114774.52696345;180.15648;3.0793533
114778.526962511;180.11914;3.0789022
114779.526962277;180.08181;3.0782506
114783.526961338;180.08522;3.0777996
114784.526961103;180.1395;3.0772483
114795.526958508;180.14969;3.0751433
114796.52695827;180.06145;3.0744917
114797.526958031;180.07164;3.0745921
114798.526957793;180.06486;3.0738904
114805.526956124;180.05805;3.0726876
114806.526955886;180.04109;3.0718355
114815.52695374;180.10558;3.0699811
114816.526953501;180.07505;3.0693297
114819.526952792;180.07841;3.0689287
114820.526952557;180.06145;3.0682771
114822.526952088;180.19381;3.0679765
114823.526951853;180.12933;3.0672748
114824.526951618;180.04109;3.0671244
114825.526951384;180.06486;3.066473
114827.526950914;180.17345;3.0662725
114828.52695068;180.06145;3.0657213
114833.526949506;179.94945;3.064368
114834.526949271;180.00038;3.0637665
114835.526949037;180.01733;3.0635662
114836.526948802;180.04109;3.0627642
114840.526947863;180.13272;3.0622129
114841.526947628;180.02073;3.0613108
114843.526947159;180.03092;3.0609097
114844.526946924;179.9868;3.0602584
114847.52694621;180.08522;3.0596569
114848.526945972;179.94269;3.0591557
114849.526945733;180.04788;3.058454
114850.526945495;180.15648;3.0587046
114851.526945256;180.1463;3.0579028
114853.52694478;179.94606;3.0573514
114854.526944541;180.11236;3.0567501
114855.526944303;179.98341;3.0562489
114857.526943826;180.10217;3.0559983
114858.526943587;180.09541;3.0550961
114859.526943349;180.03092;3.0551462
114860.526943111;180.16325;3.0544946
114861.526942872;180.15988;3.0540938
114862.526942634;180.204;3.0535424
114863.526942395;180.08522;3.0536427
114864.526942157;180.12594;3.052891
114865.526941919;180.03431;3.0525901
114866.52694168;179.96642;3.052089
114867.526941442;180.02413;3.0513873
114870.526940726;180.08181;3.0505354
114871.52694049;179.98002;3.0497334
114872.526940256;180.04109;3.0495331
114873.526940021;180.11914;3.0490317
114875.526939552;179.99697;3.0484304
114876.526939317;180.04788;3.0476286
114877.526939082;179.99019;3.0475283
114878.526938848;180.10217;3.046927
114879.526938613;180.05469;3.0462253
114880.526938378;180.00038;3.0458744
114881.526938143;180.08859;3.0451226
114882.526937909;180.03431;3.0449221
114883.526937674;180.00377;3.0441704
114885.526937205;180.18702;3.0436192
114886.52693697;179.99358;3.042717
114887.526936735;180.06486;3.0422158
114888.526936501;180.09541;3.0418148
114889.526936266;180.18364;3.0412636
114890.526936031;180.07164;3.0408626
114891.526935797;180.03431;3.0403614
114892.526935562;180.07505;3.0396097
114893.526935327;179.94269;3.0390584
114896.526934623;180.10558;3.0378554
114897.526934388;180.15648;3.0371037
114898.52693415;180.03431;3.0365024
114899.526933912;180.05469;3.0359008
114900.526933674;180.06486;3.0355501
114901.526933435;180.0445;3.0347984
114902.526933197;180.06486;3.0345478
114903.526932958;180.03092;3.0336957
114904.52693272;180.06486;3.0331445
114905.526932481;180.08181;3.0324428
114906.526932243;180.1395;3.0318913
114907.526932005;180.07505;3.0313401
114908.526931766;180.11914;3.030839
114909.526931528;180.02752;3.0300372
114910.526931289;180.03092;3.0297363
114911.526931051;180.09877;3.0290346
114912.526930812;180.05469;3.0283329
114913.526930574;180.08859;3.0279822
114914.526930335;180.01733;3.027431
114915.526930097;180.12253;3.0264285
114917.52692962;180.07164;3.0256267
114918.526929382;180.08859;3.024524
114919.526929143;180.03092;3.0237722
114920.526928905;179.97661;3.0230205
114921.526928667;180.02073;3.0227699
114922.526928428;180.05805;3.0220683
114923.52692819;180.11914;3.0212665
114924.526927954;180.05805;3.0206149
114925.526927719;179.99358;3.0200136
114926.526927485;179.95625;3.019362
114927.52692725;180.0445;3.0188608
114928.526927015;179.96983;3.0181091
114929.526926781;180.05469;3.0170565
114930.526926546;180.092;3.0162547
114931.526926311;180.10897;3.0153525
114932.526926077;179.92233;3.0150518
114933.526925842;180.11914;3.0140996
114934.526925607;180.09541;3.013448
114935.526925372;180.16666;3.0129969
114936.526925138;180.10558;3.0121448
114937.526924903;180.11236;3.0113931
114938.526924668;180.0445;3.0102906
114939.526924434;180.01056;3.0098395
114940.526924199;180.03092;3.0091379
114941.526923964;180.06823;3.0081856
114942.52692373;180.06823;3.0076344
114943.526923495;180.11577;3.0067823
114944.52692326;180.18023;3.00578
114945.526923026;180.09541;3.0052285
114946.526922791;179.99019;3.0044267
114947.526922556;180.11236;3.0035245
114948.526922321;180.12253;3.0028229
114949.526922087;180.16325;3.0016701
114950.526921852;179.95964;3.0010688
114951.526921614;180.00038;3.0007179
114952.526921375;180.05805;2.999465
114953.526921137;180.01394;2.9985628
