state-of-charge;open-circuit voltage/V
0.00886;2.79600082989474
0.00887;2.79617272016991
0.00888;2.79634461044507
0.00889;2.79651650072024
0.0089;2.7966883909954
0.00891;2.79686028127057
0.00892;2.79703217154573
0.00893;2.7972040618209
0.00894;2.79737595209606
0.00895;2.79754784237123
0.00896;2.79771973264639
0.00897;2.79789162292156
0.00898;2.79806351319673
0.00899;2.79823540347189
0.009;2.79840729374706
0.00901;2.79857918402222
0.00902;2.79875107429739
0.00903;2.79892296457255
0.00904;2.79909485484772
0.00905;2.79926674512288
0.00906;2.79943863539805
0.00907;2.79961052567321
0.00908;2.79978241594838
0.00909;2.79995430622354
0.0091;2.80012619649871
0.00911;2.80029808677387
0.00912;2.80046997704904
0.00913;2.8006418673242
0.00914;2.80081375759937
0.00915;2.80098564787453
0.00916;2.8011575381497
0.00917;2.80132942842486
0.00918;2.80150131870003
0.00919;2.8016732089752
0.0092;2.80184509925036
0.00921;2.80201698952553
0.00922;2.80218887980069
0.00923;2.80236077007586
0.00924;2.80253266035102
0.00925;2.80270455062619
0.00926;2.80287644090135
0.00927;2.80304833117652
0.00928;2.80322022145168
0.00929;2.80339211172685
0.0093;2.80356400200201
0.00931;2.80373589227718
0.00932;2.80390778255234
0.00933;2.80407967282751
0.00934;2.80425156310267
0.00935;2.80442345337784
0.00936;2.804595343653
0.00937;2.80476723392817
0.00938;2.80493912420333
0.00939;2.8051110144785
0.0094;2.80528342737467
0.00941;2.80545661549199
0.00942;2.80562980360931
0.00943;2.80580299172663
0.00944;2.80597617984395
0.00945;2.80614936796128
0.00946;2.8063225560786
0.00947;2.80649574419592
0.00948;2.80666893231324
0.00949;2.80684212043056
0.0095;2.80701530854789
0.00951;2.80718849666521
0.00952;2.80736168478253
0.00953;2.80753487289985
0.00954;2.80770806101717
0.00955;2.80788124913449
0.00956;2.80805443725182
0.00957;2.80822762536914
0.00958;2.80840081348646
0.00959;2.80857400160378
0.0096;2.8087471897211
0.00961;2.80892037783843
0.00962;2.80909356595575
0.00963;2.80926675407307
0.00964;2.80943994219039
0.00965;2.80961313030771
0.00966;2.80978341836847
0.00967;2.80995292553089
0.00968;2.81012243269331
0.00969;2.81029193985573
0.0097;2.81046144701815
0.00971;2.81063095418057
0.00972;2.81080046134299
0.00973;2.81096996850541
0.00974;2.81113947566784
0.00975;2.81130898283026
0.00976;2.81147848999268
0.00977;2.8116479971551
0.00978;2.81181750431752
0.00979;2.81198701147994
0.0098;2.81215651864236
0.00981;2.81232602580478
0.00982;2.8124955329672
0.00983;2.81266504012962
0.00984;2.81283454729204
0.00985;2.81300405445446
0.00986;2.81317356161689
0.00987;2.81334306877931
0.00988;2.81351257594173
0.00989;2.81368208310415
0.0099;2.81385159026657
0.00991;2.81402109742899
0.00992;2.81419060459141
0.00993;2.81436011175383
0.00994;2.81452961891625
0.00995;2.81469912607867
0.00996;2.81486863324109
0.00997;2.81503814040351
0.00998;2.81520764756594
0.00999;2.81537715472836
0.01;2.81554666189078
0.01001;2.8157161690532
0.01002;2.81588567621562
0.01003;2.81605518337804
0.01004;2.81622469054046
0.01005;2.81639419770288
0.01006;2.8165637048653
0.01007;2.81673321202772
0.01008;2.81690271919014
0.01009;2.81707222635257
0.0101;2.81724173351499
0.01011;2.81741124067741
0.01012;2.81758074783983
0.01013;2.81775025500225
0.01014;2.81791976216467
0.01015;2.81808926932709
0.01016;2.81825877648951
0.01017;2.81842828365193
0.01018;2.81859779081435
0.01019;2.81876729797677
0.0102;2.81893680513919
0.01021;2.81910631230162
0.01022;2.81927581946404
0.01023;2.81944532662646
0.01024;2.81961483378888
0.01025;2.8197843409513
0.01026;2.81995384811372
0.01027;2.82012335527614
0.01028;2.82029286243856
0.01029;2.82046236960098
0.0103;2.8206318767634
0.01031;2.82080138392582
0.01032;2.82097089108824
0.01033;2.82114039825067
0.01034;2.82130990541309
