u_par;C;t;V;F;u;Ue;soc;I;trajectory;eta
0;1;2232;3.620460926149282;0.005481720072112304;0.0;3.685826516889612;0.380002888950052;4.978215502204348;11;0.06536559074032988
0;1;2233;3.620289027024782;0.005484245137247946;0.0;3.685682156279953;0.3797251111722745;4.978215502204348;11;0.06539312925517082
0;1;2234;3.620117103789495;0.005486770265440031;0.0;3.685537795670293;0.3794473333944964;4.978215502204348;11;0.06542069188079802
0;1;2235;3.619945156443421;0.005489295456691459;0.0;3.6853934350606328;0.3791695556167186;4.978215502204348;11;0.06544827861721192
0;1;2236;3.619773184986559;0.005491820711004921;0.0;3.685249074450973;0.3788917778389409;4.978215502204348;11;0.0654758894644143
0;1;2237;3.6196011894189097;0.0054943460283832565;0.0;3.685104713841313;0.3786140000611631;4.978215502204348;11;0.06550352442240337
0;1;2238;3.619429169740473;0.005496871408829368;0.0;3.684960353231654;0.3783362222833852;4.978215502204348;11;0.06553118349118092
0;1;2239;3.6192571259512496;0.005499396852345672;0.0;3.6848159926219943;0.3780584445056078;4.978215502204348;11;0.06555886667074473
0;1;2240;3.6190850580512386;0.005501922358935288;0.0;3.6846716320123343;0.3777806667278298;4.978215502204348;11;0.06558657396109568
0;1;2241;3.618912966040441;0.005504447928600869;0.0;3.684527271402674;0.3775028889500521;4.978215502204348;11;0.06561430536223334
0;1;2242;3.618740849918856;0.005506973561345186;0.0;3.6843829107930146;0.3772251111722742;4.978215502204348;11;0.06564206087415858
0;1;2243;3.6185687096864823;0.005509499257170717;0.0;3.684238550183355;0.3769473333944966;4.978215502204348;11;0.06566984049687274
0;1;2244;3.6183965453433222;0.005512025016080737;0.0;3.684094189573695;0.3766695556167188;4.978215502204348;11;0.06569764423037272
0;1;2245;3.618224356889375;0.005514550838077939;0.0;3.683949828964036;0.376391777838941;4.978215502204348;11;0.06572547207466117
0;1;2246;3.618052144324641;0.005517076723164896;0.0;3.683805468354376;0.3761140000611635;4.978215502204348;11;0.065753324029735
0;1;2247;3.61787990764912;0.005519602671344584;0.0;3.683661107744717;0.3758362222833855;4.978215502204348;11;0.06578120009559685
0;1;2248;3.61770764686281;0.005522128682619494;0.0;3.683516747135057;0.3755584445056077;4.978215502204348;11;0.06580910027224673
0;1;2249;3.617535361965714;0.005524654756992715;0.0;3.683372386525398;0.3752806667278298;4.978215502204348;11;0.06583702455968377
0;1;2250;3.6173630529578302;0.00552718089446676;0.0;3.6832280259157377;0.3750028889500522;4.978215502204348;11;0.0658649729579075
