R0,R1,C1,k,C,u_per,soc
0.8675237186253071,0.6932137068361044,11.25235546875,2.3731371387839317,0.34940000000000004,0.09536666666666667,0.688
0.8417855948209763,0.7119019515812397,11.223966796875,3.1374845653772354,0.28359999999999996,0.7724666666666666,0.753
0.6777260452508926,0.9791119955480099,11.6516015625,3.502842038869858,0.4928,0.8955666666666667,0.319
1.0766470804810524,0.7572758477181196,11.20513671875,3.3085431903600693,0.12940000000000002,0.9192333333333333,0.904
0.9293893352150917,1.2442365288734436,7.91070263671875,2.4459952488541603,0.0636,0.04713333333333333,0.131
1.1049913242459297,0.7637497503310442,11.2054716796875,2.4024194106459618,0.037,0.17366666666666666,0.877
0.6172031164169312,28.713539242744446,4.40218212890625,3.0067376792430878,0.8788,0.5669000000000001,0.252
0.764502165839076,0.5777636542916298,11.417150390625,3.291361778974533,0.2764,0.7651666666666667,0.308
0.8179937489330769,0.44162264093756676,11.2677578125,2.8752541169524193,0.0424,0.5127666666666666,0.434
0.9442096576094627,0.7313730660825968,11.22505078125,2.7938293293118477,0.4986,0.5502,0.871
0.6989181507378817,4.805832728743553,9.71190234375,2.842104807496071,0.6572,0.4419333333333333,0.252
0.8273432962596416,0.5382459610700607,11.745814453125,2.494087442755699,0.8695999999999999,0.20270000000000002,0.583
0.9937643073499203,0.7366596721112728,11.228296875,2.480262704193592,0.5538000000000001,0.2622666666666667,0.892
1.1448847129940987,0.7525556720793247,11.2222763671875,2.30624470859766,0.5624,0.07703333333333333,0.955
0.7691945880651474,0.7617535535246134,11.7407841796875,2.7238035574555397,0.4532,0.36193333333333333,0.328
0.8481076918542385,0.6454963702708483,11.2962421875,2.619164250791073,0.6736,0.36543333333333333,0.738
0.8451969362795353,0.7102091796696186,11.226380859375,3.0594702810049057,0.3162,0.7208333333333333,0.756
0.7277875207364559,0.5602364428341389,11.6035009765625,3.5238854587078094,0.9476000000000001,0.9861666666666667,0.649
1.3855424709618092,0.7682924158871174,11.201388671875,3.152715787291527,0.0598,0.8427,0.995
0.786965899169445,2.469262480735779,9.3924658203125,2.8395581990480423,0.4096,0.42833333333333334,0.202
0.8880228735506535,0.7321683224290609,11.216587890625,3.392057493329048,0.3048,0.9500333333333334,0.826
0.810074619948864,0.5215703509747982,11.3693466796875,2.5943363085389137,0.2764,0.2734333333333333,0.45
0.8195658214390278,0.5434522870928049,11.8794296875,2.396782860159874,0.7802,0.07876666666666667,0.519
0.67280656658113,1.197381503880024,11.92579296875,3.2397981733083725,0.6088,0.7393,0.332
0.8322278037667274,0.7104334887117147,11.224423828125,3.363879770040512,0.30379999999999996,0.9165666666666666,0.76
1.1334300972521305,0.7492628414183855,11.213638671875,3.3288463950157166,0.47919999999999996,0.9457,0.963
0.7107549346983433,18.679483234882355,9.835400390625,2.6362814009189606,0.8394,0.27149999999999996,0.288
0.7527514360845089,0.49279783852398396,11.479517578125,3.075711242854595,0.3882,0.6529,0.422
0.856262631714344,0.6897390820086002,11.248921875,2.4826088920235634,0.34940000000000004,0.21723333333333333,0.691
0.691386591643095,3.53456549346447,9.391078125,3.1782664358615875,0.5444,0.6760333333333333,0.229
0.8050782606005669,0.4602436441928148,11.3964375,2.9256585985422134,0.21459999999999999,0.5276666666666666,0.339
