% Model:              2_2603_JH_lib_coupled_model.mph
% Version:            COMSOL 6.3.0.420
% Date:               Mar 26 2026, 17:17
% Dimension:          0
% Nodes:              2711
% Expressions:        4
% Description:        Point Probe 1, Point Probe 3, Point Probe 2, Point Probe 4
% u_par                   t                        point1 (V)               point3 (N)               point2 (A)               point4 (m)
1.2000000000000002        828                      4.015183445780045        -3.2538928592268858E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        864                      4.012301680963735        -3.089522472432163E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        900                      4.00976270039084         -2.9253341468836352E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        936                      4.00707750347724         -2.761342577590622E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        972.0000000000001        4.004010727350919        -2.59755483746819E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1008.0000000000001       4.000858480939011        -2.4339620281150214E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1044                     3.997620764241516        -2.2705641495311096E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1080                     3.9943979017705176       -2.1073691476031672E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1116                     3.991133621256262        -1.9443725654634573E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1152                     3.987827918348408        -1.7815744027674288E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1188                     3.9845149028254654       -1.6189745254997242E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1224                     3.9812308287052756       -1.4565727912203906E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1260.0000000000002       3.9779437110226366       -1.2943693255965138E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1296                     3.9746535497775493       -1.1323641286280988E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1332                     3.9715182279407966       -9705549.831054758       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1368                     3.968475100251743        -8089427.687794896       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1404                     3.9655088632492057       -6475277.005623829       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1440                     3.9626344571671313       -4863081.410101857       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1476                     3.9598821989493698       -3252807.673974068       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1512                     3.9572298862365534       -1644480.1309417319      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1548                     3.954677519028684        -38098.78100488317       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1584                     3.951974862358123        1566357.627394564        1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1620                     3.9491686334382976       3168885.126731229        1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1656                     3.9463138464325653       4769479.044849604        1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1692                     3.9434498019851687       6368146.381403628        1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1728                     3.940732025593443        7964914.836312182        1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1764                     3.938059343911312        9559766.390063835        1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1800                     3.935431756938775        1.1152701042658562E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1836                     3.9327655678702222       1.2743745200974971E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1872                     3.9300530541961907       1.4332901301514275E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1908                     3.9273261607101153       1.592015926548943E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1944.0000000000002       3.924601154747425        1.7505522297923967E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        1980.0000000000002       3.922036367002974        1.908902159345454E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2016.0000000000002       3.9195370984344278       2.06706384942825E7       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2052                     3.9171033490417866       2.2250373000407863E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2088                     3.9147253656360674       2.382825468034705E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2124                     3.9123984538699728       2.540429776584361E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2160                     3.910128519679855        2.69784843520075E7       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2196                     3.907915563065714        2.8550814438838836E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2232                     3.9056740300578747       3.0121341699514113E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2268                     3.9034519080919106       3.1690036028614413E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2304                     3.9012492008776714       3.32568974238123E7       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2340                     3.8990423315403095       3.482194271726574E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2376                     3.8968062410944313       3.6385189799250886E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2412                     3.8945630377317224       3.794662288614176E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2448                     3.892312721452182        3.950624197793834E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2484                     3.8900246173958957       4.106408249013515E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2520.0000000000005       3.8877108968222767       4.26201303704701E7       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2556                     3.8853745330192333       4.417438218614957E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2592                     3.8830222191000554       4.5726849243511446E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2628                     3.8806675368292933       4.727755448554362E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2664                     3.8783005397156756       4.88264811101415E7       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2700                     3.875921227759202        5.0373629117305025E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2736                     3.873577125682063        5.1919023763468206E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2772                     3.871259360932951        5.346266033342186E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2808                     3.8689574852006032       5.500453327453832E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2844                     3.86667618390849         5.654464984201821E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2880                     3.8644339988090315       5.8083038747061744E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2916                     3.862218868014198        5.9619681312292874E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2952                     3.86003079152399         6.1154577537711546E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        2988.0000000000005       3.8578707088401987       6.268775126577654E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3024                     3.8557387066484687       6.421920469637598E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3060                     3.853634426366528        6.574892872949214E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3096                     3.8515580085974634       6.72769264954445E7       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3132                     3.849510821837333        6.880322846177018E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3168                     3.8474920475760794       7.032781640555543E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3204                     3.8455016858137023       7.185069032680029E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3240                     3.8435353786439874       7.337186406304827E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3276                     3.8415910285452637       7.489134427450395E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3312                     3.839671274399724        7.640912258199506E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3348                     3.837776116207367        7.792519898552167E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3384                     3.8358916637439213       7.943959786285588E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3420.0000000000005       3.8340257080709224       8.095230554044445E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3456                     3.832178249790689        8.246332201723012E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3492                     3.8303380762680392       8.397265465459183E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3528                     3.828493270009116        8.548031127666579E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3564                     3.826654345176184        8.69862849806385E7       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3600                     3.8248213017692434       8.84905757665099E7       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3636                     3.822957461300171        8.999320058640395E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3672                     3.8210773771653006       9.14941527140081E7       1.4768238373834388       1.7847900466562989E-6
