trajectory,C,u_per,I,u,soc,R1,C1,R0,k
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.33480555,0.011941956,1598.8975,0.007111851,0.062621154
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.33373612,0.011955955,1598.9501,0.007111851,0.06265374
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.33266667,0.01196996,1599.0024,0.007111851,0.06268637
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3315972,0.011983975,1599.0548,0.007111851,0.062719
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.33052778,0.011997996,1599.1073,0.007111851,0.06275171
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.32945833,0.012012024,1599.1595,0.007111851,0.062784426
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3283889,0.01202606,1599.2118,0.007111851,0.0628172
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.32731944,0.012040105,1599.2639,0.007111851,0.062850006
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.32625,0.012054156,1599.3162,0.007111851,0.06288286
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.32518056,0.012068214,1599.3682,0.007111851,0.062915735
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3241111,0.01208228,1599.4203,0.007111851,0.062948674
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.32304168,0.012096354,1599.4723,0.007111851,0.06298162
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.32197222,0.012110434,1599.5243,0.007111851,0.063014634
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.32090276,0.012124521,1599.5762,0.007111851,0.06304766
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.31983334,0.012138615,1599.6279,0.007111851,0.06308075
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.31876388,0.0121527165,1599.6797,0.007111851,0.06311386
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.31769446,0.012166826,1599.7314,0.007111851,0.06314702
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.316625,0.012180944,1599.7831,0.007111851,0.063180216
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.31555554,0.012195068,1599.8348,0.007111851,0.06321346
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.31448612,0.012209198,1599.8865,0.007111851,0.06324673
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.31341666,0.012223338,1599.9379,0.007111851,0.06328004
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.31234723,0.012237482,1599.9894,0.007111851,0.063313395
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.31127778,0.012251634,1600.0409,0.007111851,0.063346796
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.31020832,0.012265794,1600.0922,0.007111851,0.06338021
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3091389,0.012279961,1600.1436,0.007111851,0.06341369
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.30806944,0.012294135,1600.1948,0.007111851,0.06344719
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.307,0.012308314,1600.2461,0.007111851,0.063480735
